province_id,name
1,KABUPATEN ACEH SELATAN
1,KABUPATEN ACEH TENGGARA
1,KABUPATEN ACEH TIMUR
1,KABUPATEN ACEH TENGAH
1,KABUPATEN ACEH BARAT
1,KABUPATEN ACEH BESAR
1,KABUPATEN PIDIE
1,KABUPATEN ACEH UTARA
1,KABUPATEN SIMEULUE
1,KABUPATEN ACEH SINGKIL
1,KABUPATEN BIREUEN
1,KABUPATEN ACEH BARAT DAYA
1,KABUPATEN GAYO LUES
1,KABUPATEN ACEH JAYA
1,KABUPATEN NAGAN RAYA
1,KABUPATEN ACEH TAMIANG
1,KABUPATEN  BENER MERIAH
1,KOTA BANDA ACEH
1,KOTA SABANG
1,KOTA LHOKSEUMAWE
1,KOTA LANGSA
2,KABUPATEN TAPANULI TENGAH
2,KABUPATEN TAPANULI UTARA
2,KABUPATEN TAPANULI  SELATAN
2,KABUPATEN NIAS
2,KABUPATEN LANGKAT
2,KABUPATEN KARO
2,KABUPATEN DELI SERDANG
2,KABUPATEN  SIMALUNGUN.
2,KABUPATEN ASAHAN
2,KABUPATEN LABUHAN BATU
2,KABUPATEN DAIRI
2,KABUPATEN TOBA SAMOSIR
2,KABUPATEN MANDAILING NATAL
2,KABUPATEN NIAS SELATAN
2,KABUPATEN PAKPAK BHARAT
2,KABUPATEN HUMBANG HASUNDUTAN
2,KABUPATEN SAMOSIR
2,KABUPATEN SERDANG BEDAGAI
2,KOTA MEDAN
2,KOTA PEMATANG SIANTAR
2,KOTA SIBOLGA
2,KOTA TANJUNG BALAI
2,KOTA BINJAI
2,KOTA TEBING TINGGI
2,KOTA PADANG SIDIMPUAN
3,KABUPATEN SOLOK
3,KABUPATEN SAWAHLUNTO/SIJUNJUNG
3,KABUPATEN DHARMASRAYA
3,KABUPATEN TANAH DATAR
3,KABUPATEN PADANG PARIAMAN
3,KABUPATEN AGAM
3,KABUPATEN LIMA PULUH KOTA
3,KABUPATEN PASAMAN
3,KABUPATEN KEPULAUAN MENTAWAI.
3,KABUPATEN SOLOK SELATAN
3,KABUPATEN PASAMAN BARAT
3,KOTA PADANG
3,KOTA SOLOK
3,KOTA SAWAHLUNTO
3,KOTA PADANG PANJANG
3,KOTA  BUKIT TINGGI 
3,KOTA PAYAKUMBUH
3,KOTA PARIAMAN
3,KABUPATEN PESISIR SELATAN
4,KABUPATEN KAMPAR
4,KABUPATEN INDRAGIRI HULU
4,KABUPATEN BENGKALIS
4,KABUPATEN INDRAGIRI HILIR
4,KABUPATEN PELALAWAN
4,KABUPATEN ROKAN HULU
4,KABUPATEN ROKAN HILIR
4,KABUPATEN SIAK
4,KABUPATEN KUANTAN SINGINGI
4,KOTA PEKANBARU
4,KOTA DUMAI
5,KABUPATEN KERINCI
5,KABUPATEN  MERANGIN
5,KABUPATEN  SAROLANGUN 
5,KABUPATEN  BATANG HARI
5,KABUPATEN   MUARO JAMBI
5,KABUPATEN TANJUNG JABUNG BARAT
5,KABUPATEN TANJUNG JABUNG TIMUR
5,KABUPATEN BUNGO 
5,KABUPATEN  TEBO
5,KOTA JAMBI
6,KABUPATEN OGAN KOMERING ULU
6,KABUPATEN OGAN KOMERING ILIR
6,KABUPATEN  MUARA ENIM
6,KABUPATEN  LAHAT
6,KABUPATEN  MUSI RAWAS
6,KABUPATEN  MUSI BANYUASIN
6,KABUPATEN  BANYUASIN
6,KABUPATEN OGAN  ILIR
6,KABUPATEN OGAN KOMERING ULU TIMUR
